,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
0,Totalt antal brott,3144,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,1210821
1,Totalt antal brott,3144,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,1183484
2,Totalt antal brott,3144,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,1228192
3,Totalt antal brott,3144,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,1255335
4,Totalt antal brott,3144,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,1248743
5,Totalt antal brott,3144,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,1241843
6,Totalt antal brott,3144,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,1224958
7,Totalt antal brott,3144,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,1306324
8,Totalt antal brott,3144,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,1377854
9,Totalt antal brott,3144,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,1405626
10,Totalt antal brott,3144,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,1370399
11,Totalt antal brott,3144,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,1416280
12,Totalt antal brott,3144,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,1402588
13,Totalt antal brott,3144,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,1401982
14,Totalt antal brott,3144,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,1443753
15,Totalt antal brott,3144,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,1503399
16,Totalt antal brott,3144,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,1502023
17,Våldsbrott,3145,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,75696
18,Våldsbrott,3145,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,78239
19,Våldsbrott,3145,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,79232
20,Våldsbrott,3145,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,83591
21,Våldsbrott,3145,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,85892
22,Våldsbrott,3145,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,93962
23,Våldsbrott,3145,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,97914
24,Våldsbrott,3145,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,104366
25,Våldsbrott,3145,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,108237
26,Våldsbrott,3145,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,111472
27,Våldsbrott,3145,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,112929
28,Våldsbrott,3145,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,116520
29,Våldsbrott,3145,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,113867
30,Våldsbrott,3145,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,104738
31,Våldsbrott,3145,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,108071
32,Våldsbrott,3145,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,108739
33,Våldsbrott,3145,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,112645
34,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,58851
35,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,59478
36,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,61644
37,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,65177
38,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,67089
39,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,72645
40,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,77019
41,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,82262
42,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,84566
43,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,86281
44,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,87854
45,"Våldsbrott, Misshandel inkl.grov",3161,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,89457
