region,kolada_id,migrationsverket_id,brå_id
Ale,Ale,ALE,Ale kommun
Alingsås,Alingsås,ALINGSÅS,Alingsås kommun
Alvesta,Alvesta,ALVESTA,Alvesta kommun
Aneby,Aneby,ANEBY,Aneby kommun
Arboga,Arboga,ARBOGA,Arboga kommun
Arjeplog,Arjeplog,ARJEPLOG,Arjeplog kommun
Arvidsjaur,Arvidsjaur,ARVIDSJAUR,Arvidsjaur kommun
Arvika,Arvika,ARVIKA,Arvika kommun
Askersund,Askersund,ASKERSUND,Askersund kommun
Avesta,Avesta,AVESTA,Avesta kommun
Bengtsfors,Bengtsfors,BENGTSFORS,Bengtsfors kommun
Berg,Berg,BERG,Berg kommun
Bjurholm,Bjurholm,BJURHOLM,Bjurholm kommun
Bjuv,Bjuv,BJUV,Bjuv kommun
Boden,Boden,BODEN,Boden kommun
Bollebygd,Bollebygd,BOLLEBYGD,Bollebygd kommun
Bollnäs,Bollnäs,BOLLNÄS,Bollnäs kommun
Borgholm,Borgholm,BORGHOLM,Borgholm kommun
Borlänge,Borlänge,BORLÄNGE,Borlänge kommun
Borås,Borås,BORÅS,Borås kommun
Botkyrka,Botkyrka,BOTKYRKA,Botkyrka kommun
Boxholm,Boxholm,BOXHOLM,Boxholm kommun
Bromölla,Bromölla,BROMÖLLA,Bromölla kommun
Bräcke,Bräcke,BRÄCKE,Bräcke kommun
Burlöv,Burlöv,BURLÖV,Burlöv kommun
Båstad,Båstad,BÅSTAD,Båstad kommun
Dals-Ed,Dals-Ed,DALS-ED,Dals-Ed kommun
Danderyd,Danderyd,DANDERYD,Danderyd kommun
Degerfors,Degerfors,DEGERFORS,Degerfors kommun
Dorotea,Dorotea,DOROTEA,Dorotea kommun
Eda,Eda,EDA,Eda kommun
Ekerö,Ekerö,EKERÖ,Ekerö kommun
Eksjö,Eksjö,EKSJÖ,Eksjö kommun
Emmaboda,Emmaboda,EMMABODA,Emmaboda kommun
Enköping,Enköping,ENKÖPING,Enköping kommun
Eskilstuna,Eskilstuna,ESKILSTUNA,Eskilstuna kommun
Eslöv,Eslöv,ESLÖV,Eslöv kommun
Essunga,Essunga,ESSUNGA,Essunga kommun
Fagersta,Fagersta,FAGERSTA,Fagersta kommun
Falkenberg,Falkenberg,FALKENBERG,Falkenberg kommun
Falköping,Falköping,FALKÖPING,Falköping kommun
Falun,Falun,FALUN,Falun kommun
Filipstad,Filipstad,FILIPSTAD,Filipstad kommun
Finspång,Finspång,FINSPÅNG,Finspång kommun
Flen,Flen,FLEN,Flen kommun
